"DISSEMINATION_ID","ORIGINAL_DISSEMINATION_ID","ACTION","EXECUTION_TIMESTAMP","CLEARED","INDICATION_OF_COLLATERALIZATION","INDICATION_OF_END_USER_EXCEPTION","INDICATION_OF_OTHER_PRICE_AFFECTING_TERM","BLOCK_TRADES_AND_LARGE_NOTIONAL_OFF-FACILITY_SWAPS","EXECUTION_VENUE","EFFECTIVE_DATE","END_DATE","DAY_COUNT_CONVENTION","SETTLEMENT_CURRENCY","ASSET_CLASS","SUB-ASSET_CLASS_FOR_OTHER_COMMODITY","TAXONOMY","PRICE_FORMING_CONTINUATION_DATA","UNDERLYING_ASSET_1","UNDERLYING_ASSET_2","PRICE_NOTATION_TYPE","PRICE_NOTATION","ADDITIONAL_PRICE_NOTATION_TYPE","ADDITIONAL_PRICE_NOTATION","NOTIONAL_CURRENCY_1","NOTIONAL_CURRENCY_2","ROUNDED_NOTIONAL_AMOUNT_1","ROUNDED_NOTIONAL_AMOUNT_2","PAYMENT_FREQUENCY_1","PAYMENT_FREQUENCY_2","RESET_FREQUENCY_1","RESET_FREQUENCY_2","EMBEDED_OPTION","OPTION_STRIKE_PRICE","OPTION_TYPE","OPTION_FAMILY","OPTION_CURRENCY","OPTION_PREMIUM","OPTION_LOCK_PERIOD","OPTION_EXPIRATION_DATE","PRICE_NOTATION2_TYPE","PRICE_NOTATION2","PRICE_NOTATION3_TYPE","PRICE_NOTATION3"
"86518176","","NEW","2018-05-29T06:43:46","U","UC","N","N","Y","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","iTraxx Europe Crossover Series 29 Version 1:2I667KFN3","","BasisPoints","325.5","","","EUR","","86,000,000+","","3M","","","","","","","","","","","","","","",""
"86510682","","NEW","2018-05-29T07:04:31","C","","N","N","Y","ON","2018-05-30","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","XOVER S29:2I667KFN3","","Basis points","320.25","","","EUR","","42,000,000","","3M","","","","","","","","","","","","","","",""
"86510703","","NEW","2018-05-29T07:04:48","C","","N","N","Y","ON","2018-05-30","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","FINSEN S29:2I667DBT0","","Basis points","89","","","EUR","","95,000,000+","","3M","","","","","","","","","","","","","","",""
"86517994","","NEW","2018-05-29T07:23:54","C","UC","N","N","N","OFF","2017-09-20","2027-12-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","ITRAXX EUROPE.MAIN.28.1:2I666VCA1","","BasisPoints","110.05","","","EUR","","1,000,000","","3M","","","","","","","","","","","","","","",""
"86517682","","NEW","2018-05-16T09:48:06","U","PC","N","Y","N","OFF","2018-05-21","2018-08-21"," ACT/360","","CR","","Credit:Exotic:Other","Amendment","LIC HOUSING FIN 7.8000019/03/2020:INE115A07LK1","","Percentage","10,012.35","","","USD","","15,000,000","","0","","","","","","","","","","","","","","",""
"86518483","","NEW","2018-05-29T06:52:27","U","UC","N","N","Y","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","iTraxx Europe Sub Financials Series 29 Version 1:2I667EBU5","","BasisPoints","205","","","EUR","","86,000,000+","","3M","","","","","","","","","","","","","","",""
"86518860","","NEW","2018-03-21T09:10:21","U","PC","N","Y","N","OFF","2018-03-23","2018-06-25"," ACT/360","","CR","","Credit:Exotic:Other","Amendment","IGB 6.79 15/05/2027:IN0020170026","","Percentage","9,588.0222","","","USD","","10,000,000","","0","","","","","","","","","","","","","","",""
"86520260","","NEW","2018-05-29T07:35:10","C","","N","N","N","ON","2018-05-30","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","XOVER S29:2I667KFN3","","Basis points","319","","","EUR","","20,000,000","","3M","","","","","","","","","","","","","","",""
"86507091","","NEW","2018-05-29T06:52:33","U","FC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxAsiaExJapan","Trade","None:4ABCAMAV8","","BasisPoints","77.5","","","USD","","10,000,000","","3M","","","","","","","","","","","","","","",""
"86507989","","NEW","2018-05-29T06:55:08","U","UC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxAustralia","Trade","ITRAXX AUSTRALIA SERIES 29 VERSION 1:2I668IBC5","","BasisPoints","69.25","","","USD","","1,000,000","","3M","","","","","","","","","","","","","","",""
"86506676","","NEW","2018-05-29T06:51:13","C","","N","N","N","ON","2018-05-30","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","FINSEN S29:2I667DBT0","","Basis points","92.575","","","EUR","","25,000,000","","3M","","","","","","","","","","","","","","",""
"86506689","","NEW","2018-05-29T06:50:50","U","FC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxAustralia","Trade","ITRAXX AUSTRALIA SERIES 29 VERSION 1:2I668IBC5","","BasisPoints","71","","","USD","","10,000,000","","3M","","","","","","","","","","","","","","",""
"86522388","","NEW","2018-05-29T07:41:10","C","UC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","iTraxx Europe Series 29 Version 1:2I666VCI4","","BasisPoints","72.25","","","EUR","","75,000,000","","3M","","","","","","","","","","","","","","",""
"86522389","","NEW","2018-05-29T07:41:10","C","UC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","iTraxx Europe Senior Financials Series 29 Version 1:2I667DBT0","","BasisPoints","90.75","","","EUR","","75,000,000","","3M","","","","","","","","","","","","","","",""
"86512418","","NEW","2018-05-29T07:08:56","C","","N","N","N","ON","2018-05-30","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","EUROPE S29:2I666VCI4","","Basis points","73.502","","","EUR","","61,000,000","","3M","","","","","","","","","","","","","","",""
"86512265","","NEW","2018-05-29T07:08:43","C","","N","N","N","ON","2018-05-30","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","FINSEN S29:2I667DBT0","","Basis points","90.5","","","EUR","","50,000,000","","3M","","","","","","","","","","","","","","",""
"86498452","","NEW","2018-05-29T01:05:57","U","FC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxAsiaExJapan","Trade","iTraxx Asia ex-Japan IG Series 29 Version 1:4ABCAMAV8","","Basis points","75","","","USD","","5,000,000","","3M","","","","","","","","","","","","","","",""
"86499913","86367394","CANCEL","2018-05-24T21:19:20","U","FC","N","Y","N","OFF","2017-11-20","2019-12-05"," ACT/ACT.ISDA","USD","CR","","Credit:Exotic:Other","Trade","CM FINANCE SPV LTD:US125745AB51","","","","","","USD","","27,000,000","","0","","","","","","","","","","","","","","",""
"86499914","86367394","CORRECT","2018-05-25T18:45:14","U","FC","N","Y","N","OFF","2017-11-20","2019-12-05"," ACT/ACT.ISDA","USD","CR","","Credit:Exotic:Other","Trade","CM FINANCE SPV LTD:US125745AB51","","","","","","USD","","27,000,000","","0","","","","","","","","","","","","","","",""
"86499928","86365189","CANCEL","2018-05-24T21:17:51","U","FC","N","Y","N","OFF","2017-11-20","2020-12-07"," ACT/ACT.ISDA","USD","CR","","Credit:Exotic:Other","Trade","CM FINANCE SPV LTD:US125745AA78","","","","","","USD","","100,000,000+","","0","","","","","","","","","","","","","","",""
"86499929","86365189","CORRECT","2018-05-25T18:44:00","U","FC","N","Y","N","OFF","2017-11-20","2020-12-07"," ACT/ACT.ISDA","USD","CR","","Credit:Exotic:Other","Trade","CM FINANCE SPV LTD:US125745AA78","","","","","","USD","","100,000,000+","","0","","","","","","","","","","","","","","",""
"86499399","","NEW","2018-05-25T15:33:58","U","FC","N","Y","N","OFF","2018-05-30","2019-11-30"," ACT/360","USD","CR","","Credit:Exotic:Other","Trade","CVI AV BSL, LLC:USU15123AA76","","","","","","USD","","8,000,000","","0","","","","","","","","","","","","","","",""
"86499435","","NEW","2018-05-25T15:30:13","U","FC","N","Y","N","OFF","2018-05-30","2019-11-30"," ACT/360","USD","CR","","Credit:Exotic:Other","Trade","CVI CVIC BSL, LLC:USU1513AAA08","","","","","","USD","","71,000,000","","0","","","","","","","","","","","","","","",""
"86499480","","NEW","2018-05-25T15:31:02","U","FC","N","Y","N","OFF","2018-05-30","2019-11-30"," ACT/360","USD","CR","","Credit:Exotic:Other","Trade","CVI AA BSL LLC:USU15122AA93","","","","","","USD","","17,000,000","","0","","","","","","","","","","","","","","",""
"86499504","","NEW","2018-05-25T15:28:41","U","FC","N","Y","N","OFF","2018-05-30","2019-11-30"," ACT/360","USD","CR","","Credit:Exotic:Other","Trade","CVI AA BSL LLC:USU1512LAA71","","","","","","USD","","100,000,000+","","0","","","","","","","","","","","","","","",""
"86499516","","NEW","2018-05-25T15:33:26","U","FC","N","Y","N","OFF","2018-05-30","2019-11-30"," ACT/360","USD","CR","","Credit:Exotic:Other","Trade","CARVAL GCF BSL LLC:USU1467QAA14","","","","","","USD","","24,000,000","","0","","","","","","","","","","","","","","",""
"86520563","86517994","CANCEL","2018-05-29T07:23:54","C","UC","N","N","N","","2017-09-20","2027-12-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","ITRAXX EUROPE.MAIN.28.1:2I666VCA1","","BasisPoints","110.05","","","EUR","","1,000,000","","3M","","","","","","","","","","","","","","",""
"86508985","","NEW","2018-05-29T06:59:33","C","","N","N","N","ON","2018-05-30","2022-12-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","XOVER S28:2I667KFM5","","Basis points","285","","","EUR","","24,000,000","","3M","","","","","","","","","","","","","","",""
"86502169","","NEW","2017-09-21T15:28:23","U","PC","N","Y","N","OFF","2017-09-25","2018-09-26"," ACT/360","","CR","","Credit:Exotic:Other","Amendment","NIGERIA T-BILL ZCPN 20/09/2018:AP2375255","","Percentage","8,324.97035","","","USD","","1,000,000","","0","","","","","","","","","","","","","","",""
"86502187","","NEW","2017-09-06T16:09:31","U","PC","N","Y","N","OFF","2017-09-08","2018-08-29"," ACT/360","","CR","","Credit:Exotic:Other","Amendment","NIGERIA OMO BILL 0 16/08/2018:AO7270629","","Percentage","8,414.8573","","","USD","","7,000,000","","0","","","","","","","","","","","","","","",""
"86502194","","NEW","2017-09-06T16:00:56","U","PC","N","Y","N","OFF","2017-09-08","2018-08-29"," ACT/360","","CR","","Credit:Exotic:Other","Amendment","NIGERIA OMO BILL 0 16/08/2018:AO7270629","","Percentage","8,414.8573","","","USD","","7,000,000","","0","","","","","","","","","","","","","","",""
"86502209","","NEW","2017-09-06T15:35:56","U","PC","N","Y","N","OFF","2017-09-08","2018-08-29"," ACT/360","","CR","","Credit:Exotic:Other","Amendment","NIGERIA OMO BILL 0 16/08/2018:AO7270629","","Percentage","8,414.8573","","","USD","","1,000,000","","0","","","","","","","","","","","","","","",""
"86502231","","NEW","2018-05-29T06:03:47","C","","N","N","N","ON","2018-05-30","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","EUROPE S29:2I666VCI4","","Basis points","69.375","","","EUR","","50,000,000","","3M","","","","","","","","","","","","","","",""
"86502377","","NEW","2017-08-23T14:54:14","U","PC","N","Y","N","OFF","2017-08-25","2018-05-30"," ACT/360","","CR","","Credit:Exotic:Other","Amendment","NIGERIA OMO BILL 0 24/05/2018:AN7630360","","Percentage","8,661","","","USD","","13,000,000","","0","","","","","","","","","","","","","","",""
"86502408","","NEW","2017-08-23T14:45:37","U","PC","N","Y","N","OFF","2017-08-25","2018-05-30"," ACT/360","","CR","","Credit:Exotic:Other","Amendment","NIGERIA OMO BILL 0 24/05/2018:AN7630360","","Percentage","8,661","","","USD","","8,000,000","","0","","","","","","","","","","","","","","",""
"86502602","","NEW","2017-08-21T17:08:11","U","PC","N","Y","N","OFF","2017-08-23","2018-06-27"," ACT/360","","CR","","Credit:Exotic:Other","Amendment","NIGERIA T-BILL ZCPN 21/06/2018:AO0213543","","Percentage","8,517","","","USD","","4,000,000","","0","","","","","","","","","","","","","","",""
"86502610","","NEW","2017-08-21T16:56:08","U","PC","N","Y","N","OFF","2017-08-23","2018-06-27"," ACT/360","","CR","","Credit:Exotic:Other","Amendment","NIGERIA T-BILL ZCPN 21/06/2018:AO0213543","","Percentage","8,517","","","USD","","13,000,000","","0","","","","","","","","","","","","","","",""
"86502621","","NEW","2017-08-17T14:02:20","U","PC","N","Y","N","OFF","2017-08-21","2018-07-25"," ACT/360","","CR","","Credit:Exotic:Other","Amendment","NGOMOB ZPN 12/07/2018:AO3550842","","Percentage","8,371","","","USD","","1,000,000","","0","","","","","","","","","","","","","","",""
"86502040","","NEW","2018-04-05T09:26:47","U","PC","N","Y","N","OFF","2018-04-09","2018-07-09"," ACT/360","","CR","","Credit:Exotic:Other","Amendment","IGB 6.79 15/05/2027:IN0020170026","","Percentage","9,868.6","","","USD","","16,000,000","","0","","","","","","","","","","","","","","",""
"86502059","","NEW","2018-04-05T09:26:47","U","PC","N","Y","N","OFF","2018-04-09","2018-07-09"," ACT/360","","CR","","Credit:Exotic:Other","Amendment","IGB 6.79 15/05/2027:IN0020170026","","Percentage","9,868.6","","","USD","","16,000,000","","0","","","","","","","","","","","","","","",""
"86502079","","NEW","2018-04-04T10:14:00","U","PC","N","Y","N","OFF","2018-04-06","2018-07-06"," ACT/360","","CR","","Credit:Exotic:Other","Amendment","IGB 6.79 15/05/2027:IN0020170026","","Percentage","9,848.94167","","","USD","","6,000,000","","0","","","","","","","","","","","","","","",""
"86502090","","NEW","2018-03-27T10:32:52","U","PC","N","Y","N","OFF","2018-04-03","2018-07-03"," 30/360","","CR","","Credit:Exotic:Other","Amendment","IGB 6.79 15/05/2027:IN0020170026","","Percentage","9,837.28333","","","USD","","2,000,000","","0","","","","","","","","","","","","","","",""
"86502098","","NEW","2018-03-21T09:10:21","U","PC","N","Y","N","OFF","2018-03-23","2018-06-25"," ACT/360","","CR","","Credit:Exotic:Other","Amendment","IGB 6.79 15/05/2027:IN0020170026","","Percentage","9,588.0222","","","USD","","10,000,000","","0","","","","","","","","","","","","","","",""
"86502152","","NEW","2017-09-21T15:48:51","U","PC","N","Y","N","OFF","2017-09-25","2018-09-26"," ACT/360","","CR","","Credit:Exotic:Other","Amendment","NIGERIA T-BILL ZCPN 20/09/2018:AP2375255","","Percentage","8,324.97035","","","USD","","10,000,000","","0","","","","","","","","","","","","","","",""
"86502162","","NEW","2017-09-21T15:44:35","U","PC","N","Y","N","OFF","2017-09-25","2018-09-26"," ACT/360","","CR","","Credit:Exotic:Other","Amendment","NIGERIA T-BILL ZCPN 20/09/2018:AP2375255","","Percentage","8,324.97035","","","USD","","13,000,000","","0","","","","","","","","","","","","","","",""
"86509390","","NEW","2018-05-29T07:00:29","C","","N","N","Y","ON","2018-05-30","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","FINSEN S29:2I667DBT0","","Basis points","90.125","","","EUR","","94,000,000+","","3M","","","","","","","","","","","","","","",""
"86516534","","NEW","2018-05-29T07:15:07","C","","N","N","N","ON","2018-05-30","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","FINSEN S29:2I667DBT0","","Basis points","90.125","","","EUR","","75,000,000","","3M","","","","","","","","","","","","","","",""
"86517027","86507989","CANCEL","2018-05-29T06:55:08","U","UC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxAustralia","Trade","ITRAXX AUSTRALIA SERIES 29 VERSION 1:2I668IBC5","","BasisPoints","69.25","","","USD","","1,000,000","","3M","","","","","","","","","","","","","","",""
