"DISSEMINATION_ID","ORIGINAL_DISSEMINATION_ID","ACTION","EXECUTION_TIMESTAMP","CLEARED","INDICATION_OF_COLLATERALIZATION","INDICATION_OF_END_USER_EXCEPTION","INDICATION_OF_OTHER_PRICE_AFFECTING_TERM","BLOCK_TRADES_AND_LARGE_NOTIONAL_OFF-FACILITY_SWAPS","EXECUTION_VENUE","EFFECTIVE_DATE","END_DATE","DAY_COUNT_CONVENTION","SETTLEMENT_CURRENCY","ASSET_CLASS","SUB-ASSET_CLASS_FOR_OTHER_COMMODITY","TAXONOMY","PRICE_FORMING_CONTINUATION_DATA","UNDERLYING_ASSET_1","UNDERLYING_ASSET_2","PRICE_NOTATION_TYPE","PRICE_NOTATION","ADDITIONAL_PRICE_NOTATION_TYPE","ADDITIONAL_PRICE_NOTATION","NOTIONAL_CURRENCY_1","NOTIONAL_CURRENCY_2","ROUNDED_NOTIONAL_AMOUNT_1","ROUNDED_NOTIONAL_AMOUNT_2","PAYMENT_FREQUENCY_1","PAYMENT_FREQUENCY_2","RESET_FREQUENCY_1","RESET_FREQUENCY_2","EMBEDED_OPTION","OPTION_STRIKE_PRICE","OPTION_TYPE","OPTION_FAMILY","OPTION_CURRENCY","OPTION_PREMIUM","OPTION_LOCK_PERIOD","OPTION_EXPIRATION_DATE","PRICE_NOTATION2_TYPE","PRICE_NOTATION2","PRICE_NOTATION3_TYPE","PRICE_NOTATION3"
"86657662","","NEW","2018-05-30T13:00:40","C","","N","N","Y","ON","2018-05-31","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","XOVER S29:2I667KFN3","","Basis points","308.05","","","EUR","","35,000,000","","3M","","","","","","","","","","","","","","",""
"86657861","","NEW","2018-05-30T13:03:50","C","PC","N","N","N","ON","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:CDX:CDXEmergingMarkets","Trade","CDX.EM.29.V1:2I65BZDJ8","","Price","97.08","","","USD","","20,000,000","","3M","","","","","","","","","","","","","","",""
"86658508","","NEW","2018-05-30T13:15:38","C","","N","N","N","ON","2018-05-31","2023-06-20"," ACT/360","","CR","","Credit:Index:CDX:CDXHY","Trade","HY.30:2I65BRPO2","","Price","106.1949","","","USD","","13,000,000","","3M","","","","","","","","","","","","","","",""
"86658977","","NEW","2018-05-30T13:08:55","U","FC","N","N","N","OFF","2017-09-20","2022-12-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","ITRAXX EUROPE SERIES 28 VERSION 1:2I666VCA1","","Basis points","60.5","","","EUR","","25,000,000","","3M","","","","","","","","","","","","","","",""
"86659467","","NEW","2018-05-30T13:29:24","U","FC","N","N","N","OFF","2018-05-23","2059-11-17"," ACT/360","","CR","","Credit:Index:CMBX:CMBX","Trade","CMBX.NA.BBB-.10:137BERAJ6","","Percentage","3","","","USD","","190,000","","1M","","","","","","","","","","","","","","",""
"86657892","","NEW","2018-05-30T13:03:59","U","FC","N","N","N","OFF","2018-05-23","2059-11-17"," ACT/360","","CR","","Credit:Index:CMBX:CMBX","Trade","CMBX.NA.BBB-.10:137BERAJ6","","Percentage","3","","","USD","","8,000,000","","1M","","","","","","","","","","","","","","",""
"86657905","","NEW","2018-05-30T13:04:41","C","PC","N","N","N","ON","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:CDX:CDXEmergingMarkets","Trade","CDX.EM.29.V1:2I65BZDJ8","","Price","97.08","","","USD","","5,000,000","","3M","","","","","","","","","","","","","","",""
"86657906","86654305","CANCEL","2018-05-30T12:10:22","C","UC","N","N","N","","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","iTraxx Europe S29-V1: 5YR:2I666VCI4","","Basis Points","69.38","","","EUR","","50,000,000","","3M","","","","","","","","","","","","","","",""
"86657917","86651652","CANCEL","2018-05-30T10:52:32","U","UC","N","N","Y","","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","iTraxx Europe Series 29 Version 1:2I666VCI4","","BasisPoints","69.625","","","EUR","","95,000,000","","3M","","","","","","","","","","","","","","",""
"86657950","86657905","CANCEL","2018-05-30T13:04:41","C","PC","N","N","N","ON","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:CDX:CDXEmergingMarkets","Trade","CDX.EM.29.V1:2I65BZDJ8","","Price","97.08","","","USD","","5,000,000","","3M","","","","","","","","","","","","","","",""
