"DISSEMINATION_ID","ORIGINAL_DISSEMINATION_ID","ACTION","EXECUTION_TIMESTAMP","CLEARED","INDICATION_OF_COLLATERALIZATION","INDICATION_OF_END_USER_EXCEPTION","INDICATION_OF_OTHER_PRICE_AFFECTING_TERM","BLOCK_TRADES_AND_LARGE_NOTIONAL_OFF-FACILITY_SWAPS","EXECUTION_VENUE","EFFECTIVE_DATE","END_DATE","DAY_COUNT_CONVENTION","SETTLEMENT_CURRENCY","ASSET_CLASS","SUB-ASSET_CLASS_FOR_OTHER_COMMODITY","TAXONOMY","PRICE_FORMING_CONTINUATION_DATA","UNDERLYING_ASSET_1","UNDERLYING_ASSET_2","PRICE_NOTATION_TYPE","PRICE_NOTATION","ADDITIONAL_PRICE_NOTATION_TYPE","ADDITIONAL_PRICE_NOTATION","NOTIONAL_CURRENCY_1","NOTIONAL_CURRENCY_2","ROUNDED_NOTIONAL_AMOUNT_1","ROUNDED_NOTIONAL_AMOUNT_2","PAYMENT_FREQUENCY_1","PAYMENT_FREQUENCY_2","RESET_FREQUENCY_1","RESET_FREQUENCY_2","EMBEDED_OPTION","OPTION_STRIKE_PRICE","OPTION_TYPE","OPTION_FAMILY","OPTION_CURRENCY","OPTION_PREMIUM","OPTION_LOCK_PERIOD","OPTION_EXPIRATION_DATE","PRICE_NOTATION2_TYPE","PRICE_NOTATION2","PRICE_NOTATION3_TYPE","PRICE_NOTATION3"
"86598416","","NEW","2018-05-02T21:42:51","U","PC","","N","N","OFF","2018-02-15","2019-02-15","","","CO","Energy","Commodity:Energy:InterEnergy:Swap:Cash","Amendment","","","USD:Price","0.0047","","","Price","Price","17,000,000","200,000","","","","","","","","","","","","","USD","0","",""
"86598420","","NEW","2018-05-02T21:47:40","U","PC","","N","N","OFF","2018-02-15","2019-02-15","","","CO","Energy","Commodity:Energy:InterEnergy:Swap:Cash","Amendment","","","USD:Price","0.0047","","","Price","Price","16,000,000","180,000","","","","","","","","","","","","","USD","0","",""
"86598425","","NEW","2018-05-02T21:46:32","U","PC","","N","N","OFF","2018-02-15","2019-02-15","","","CO","Energy","Commodity:Energy:InterEnergy:Swap:Cash","Amendment","","","USD:Price","0.0047","","","Price","Price","23,000,000","260,000","","","","","","","","","","","","","USD","0","",""
"86598427","","NEW","2018-05-02T21:41:24","U","PC","","N","N","OFF","2018-02-15","2019-02-15","","","CO","Energy","Commodity:Energy:InterEnergy:Swap:Cash","Amendment","","","USD:Price","0.0047","","","Price","Price","2,000,000","27,000","","","","","","","","","","","","","USD","0","",""
"86598431","","NEW","2018-05-02T21:45:17","U","PC","","N","N","OFF","2018-02-15","2019-02-15","","","CO","Energy","Commodity:Energy:InterEnergy:Swap:Cash","Amendment","","","USD:Price","0.0047","","","Price","Price","120,000,000","1,000,000","","","","","","","","","","","","","USD","0","",""
