"DISSEMINATION_ID","ORIGINAL_DISSEMINATION_ID","ACTION","EXECUTION_TIMESTAMP","CLEARED_OR_UNCLEARED","COLLATERALIZATION","END_USER_EXCEPTION","BESPOKE_SWAP","BLOCK_TRADE","EXECUTION_VENUE","EFFECTIVE_DATE","END_DATE","DAY_COUNT_CONVENTION","SETTLEMENT_CURRENCY","ASSET_ID","TAXONOMY","PRICE_FORMING_CONTINUATION_DATA","UNDERLYING_ASSET_1","UNDERLYING_ASSET_2","PRICE_NOTATION_TYPE","PRICE_NOTATION","ADDITIONAL_PRICE_NOTATION_TYPE","ADDITIONAL_PRICE_NOTATION","NOTIONAL_CURRENCY_1","NOTIONAL_CURRENCY_2","ROUNDED_NOTIONAL_AMOUNT_1","ROUNDED_NOTIONAL_AMOUNT_2","PAYMENT_FREQUENCY_1","PAYMENT_FREQUENCY_2","RESET_FREQUENCY_1","RESET_FREQUENCY_2","EMBEDED_OPTION","OPTION_STRIKE_PRICE","OPTION_TYPE","OPTION_FAMILY","OPTION_CURRENCY","OPTION_PREMIUM","OPTION_LOCK_PERIOD","OPTION_EXPIRATION_DATE","PRICE_NOTATION2_TYPE","PRICE_NOTATION2","PRICE_NOTATION3_TYPE","PRICE_NOTATION3"
"86658440","","NEW","2018-05-30 13:09:14:914","U","UC","","N","N","OFF","2018-07-03","2028-07-03","  30/360 ","USD","IR","InterestRate:Option:Swaption","Trade","FIXED","USD-LIBOR-BBA","Percent","2.92","","","USD","USD","150,000,000","150,000,000","6M","3M","","3M","","2.92","RF","EU","USD","997,500","","2018-06-29","","","",""
"86658411","","NEW","2018-05-30 13:09:07:97","U","UC","","N","N","OFF","2018-07-03","2028-07-03","  30/360 ","USD","IR","InterestRate:Option:Swaption","Trade","FIXED","USD-LIBOR-BBA","Percent","2.92","","","USD","USD","150,000,000","150,000,000","6M","3M","","3M","","2.92","PF","EU","USD","997,500","","2018-06-29","","","",""
"86658266","","NEW","2018-05-30 13:10:37:1037","U","UC","","N","N","OFF","2018-08-17","2020-08-17","  30/360 ","USD","IR","InterestRate:Option:Swaption","Termination","USD-LIBOR-BBA","FIXED","Percent","2.7","USD","115,800","USD","USD","150,000,000","150,000,000","3M","6M","3M","","","2.7","D-","EU","USD","678,750","","2018-08-15","","","",""
