"DISSEMINATION_ID","ORIGINAL_DISSEMINATION_ID","ACTION","EXECUTION_TIMESTAMP","CLEARED","INDICATION_OF_COLLATERALIZATION","INDICATION_OF_END_USER_EXCEPTION","INDICATION_OF_OTHER_PRICE_AFFECTING_TERM","BLOCK_TRADES_AND_LARGE_NOTIONAL_OFF-FACILITY_SWAPS","EXECUTION_VENUE","EFFECTIVE_DATE","END_DATE","DAY_COUNT_CONVENTION","SETTLEMENT_CURRENCY","ASSET_CLASS","SUB-ASSET_CLASS_FOR_OTHER_COMMODITY","TAXONOMY","PRICE_FORMING_CONTINUATION_DATA","UNDERLYING_ASSET_1","UNDERLYING_ASSET_2","PRICE_NOTATION_TYPE","PRICE_NOTATION","ADDITIONAL_PRICE_NOTATION_TYPE","ADDITIONAL_PRICE_NOTATION","NOTIONAL_CURRENCY_1","NOTIONAL_CURRENCY_2","ROUNDED_NOTIONAL_AMOUNT_1","ROUNDED_NOTIONAL_AMOUNT_2","PAYMENT_FREQUENCY_1","PAYMENT_FREQUENCY_2","RESET_FREQUENCY_1","RESET_FREQUENCY_2","EMBEDED_OPTION","OPTION_STRIKE_PRICE","OPTION_TYPE","OPTION_FAMILY","OPTION_CURRENCY","OPTION_PREMIUM","OPTION_LOCK_PERIOD","OPTION_EXPIRATION_DATE","PRICE_NOTATION2_TYPE","PRICE_NOTATION2","PRICE_NOTATION3_TYPE","PRICE_NOTATION3"
"86598448","","NEW","2018-05-02T21:21:36","U","PC","","N","N","OFF","2018-04-10","2019-04-10","","","CO","Index","Commodity:Index:Swap:Cash","Amendment","Composite Commodity Indices","","USD:Price","0","","","Price","Price","44,000,000","500,000","","","","","","","","","","","","","USD","0","",""
"86598449","","NEW","2018-05-02T21:31:37","U","PC","","N","N","OFF","2018-04-10","2019-04-10","","","CO","Index","Commodity:Index:Swap:Cash","Amendment","Composite Commodity Indices","","USD:Price","0","","","Price","Price","24,000,000","280,000","","","","","","","","","","","","","USD","0","",""
"86598451","","NEW","2018-04-10T21:48:20","U","PC","","N","N","OFF","2018-04-10","2019-04-10","","","CO","Index","Commodity:Index:Swap:Cash","Amendment","Composite Commodity Indices","","USD:Price","0","","","Price","Price","23,000,000","270,000","","","","","","","","","","","","","USD","0","",""
"86598452","","NEW","2018-05-01T20:35:12","U","PC","","N","N","OFF","2018-04-10","2019-04-10","","","CO","Index","Commodity:Index:Swap:Cash","Amendment","Composite Commodity Indices","","USD:Price","0","","","Price","Price","72,000,000","820,000","","","","","","","","","","","","","USD","0","",""
"86598454","","NEW","2018-05-01T20:39:53","U","PC","","N","N","OFF","2018-04-10","2019-04-10","","","CO","Index","Commodity:Index:Swap:Cash","Amendment","Composite Commodity Indices","","USD:Price","0","","","Price","Price","9,000,000","110,000","","","","","","","","","","","","","USD","0","",""
