"DISSEMINATION_ID","ORIGINAL_DISSEMINATION_ID","ACTION","EXECUTION_TIMESTAMP","CLEARED","INDICATION_OF_COLLATERALIZATION","INDICATION_OF_END_USER_EXCEPTION","INDICATION_OF_OTHER_PRICE_AFFECTING_TERM","BLOCK_TRADES_AND_LARGE_NOTIONAL_OFF-FACILITY_SWAPS","EXECUTION_VENUE","EFFECTIVE_DATE","END_DATE","DAY_COUNT_CONVENTION","SETTLEMENT_CURRENCY","ASSET_CLASS","SUB-ASSET_CLASS_FOR_OTHER_COMMODITY","TAXONOMY","PRICE_FORMING_CONTINUATION_DATA","UNDERLYING_ASSET_1","UNDERLYING_ASSET_2","PRICE_NOTATION_TYPE","PRICE_NOTATION","ADDITIONAL_PRICE_NOTATION_TYPE","ADDITIONAL_PRICE_NOTATION","NOTIONAL_CURRENCY_1","NOTIONAL_CURRENCY_2","ROUNDED_NOTIONAL_AMOUNT_1","ROUNDED_NOTIONAL_AMOUNT_2","PAYMENT_FREQUENCY_1","PAYMENT_FREQUENCY_2","RESET_FREQUENCY_1","RESET_FREQUENCY_2","EMBEDED_OPTION","OPTION_STRIKE_PRICE","OPTION_TYPE","OPTION_FAMILY","OPTION_CURRENCY","OPTION_PREMIUM","OPTION_LOCK_PERIOD","OPTION_EXPIRATION_DATE","PRICE_NOTATION2_TYPE","PRICE_NOTATION2","PRICE_NOTATION3_TYPE","PRICE_NOTATION3"
"88591962","","NEW","2018-06-22T07:00:59","C","PC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxAsiaExJapan","Trade","ITRAXX ASIA EX JAPAN.IG.29.1:4ABCAMAV8","","BasisPoints","80.75","","","USD","","10,000,000","","3M","","","","","","","","","","","","","","",""
“88580141","","NEW","2018-06-22T06:24:30","U","FC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxAsiaExJapan","Trade","iTraxx Asia ex-Japan IG Series 29 Version 1:4ABCAMAV8","","Basis points","81","","","USD","","20,000,000","","3M","","","","","","","","","","","","","","",""
"88581552","","NEW","2018-05-16T05:19:12","U","PC","N","Y","N","OFF","2018-05-21","2018-08-21"," ACT/360","","CR","","Credit:Exotic:Other","Amendment","LIC HOUSING FIN 7.8000019/03/2020:INE115A07LK1","","Percentage","10,012.35","","","USD","","1,000,000","","0","","","","","","","","","","","","","","",""
"88594987","","NEW","2018-06-22T07:19:36","C","FC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxAsiaExJapan","Trade","None:4ABCAMAV8","","BasisPoints","80.75","","","USD","","10,000,000","","3M","","","","","","","","","","","","","","",""
"88575013","","NEW","2018-06-22T02:30:02","U","PC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxAsiaExJapan","Trade","None:4ABCAMAV8","","BasisPoints","80.5","","","USD","","25,000,000","","3M","","","","","","","","","","","","","","",""
"88575016","","NEW","2018-06-22T02:26:42","C","FC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxAsiaExJapan","Trade","None:4ABCAMAV8","","BasisPoints","80.75","","","USD","","10,000,000","","3M","","","","","","","","","","","","","","",""
"88575041","88575013","CANCEL","2018-06-22T02:30:02","U","PC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxAsiaExJapan","Trade","None:4ABCAMAV8","","BasisPoints","80.5","","","USD","","25,000,000","","3M","","","","","","","","","","","","","","",""
"88575042","88575013","CORRECT","2018-06-22T02:35:13","U","FC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxAsiaExJapan","Trade","None:4ABCAMAV8","","BasisPoints","80.5","","","USD","","25,000,000","","3M","","","","","","","","","","","","","","",""
"88574009","","NEW","2018-06-22T00:21:57","C","PC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxAsiaExJapan","Trade","ITRAXX ASIA EX JAPAN.IG.29.1:4ABCAMAV8","","BasisPoints","81.25","","","USD","","10,000,000","","3M","","","","","","","","","","","","","","",""
"88575995","","NEW","2018-06-22T03:48:59","C","FC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxAsiaExJapan","Trade","None:4ABCAMAV8","","BasisPoints","81","","","USD","","15,000,000","","3M","","","","","","","","","","","","","","",""
"88577980","88516931","CANCEL","2018-06-21T09:37:51","U","PC","N","Y","N","OFF","2018-06-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:ItraxxSDI","Trade","ITRAXX EUROPE SERIES 29 VERSION 1:2I666VCI4","","BasisPoints","69.9","","","EUR","","84,000,000","","3M","","","","","","","","","","","","","","",""
"88577981","88516931","CORRECT","2018-06-21T09:37:51","U","UC","N","Y","N","OFF","2018-06-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:ItraxxSDI","Trade","ITRAXX EUROPE SERIES 29 VERSION 1:2I666VCI4","","BasisPoints","69.9","","","EUR","","84,000,000","","3M","","","","","","","","","","","","","","",""
"88576581","88477705","CANCEL","2018-06-20T21:09:28","U","FC","N","Y","N","OFF","2017-11-20","2020-12-07"," ACT/ACT.ISDA","USD","CR","","Credit:Exotic:Other","Trade","CM FINANCE SPV LTD:US125745AA78","","","","","","USD","","100,000,000+","","0","","","","","","","","","","","","","","",""
"88576582","88477705","CORRECT","2018-06-21T21:03:35","U","FC","N","Y","N","OFF","2017-11-20","2020-12-07"," ACT/ACT.ISDA","USD","CR","","Credit:Exotic:Other","Trade","CM FINANCE SPV LTD:US125745AA78","","","","","","USD","","100,000,000+","","0","","","","","","","","","","","","","","",""
"88576606","88478111","CANCEL","2018-06-20T21:10:48","U","FC","N","Y","N","OFF","2017-11-20","2019-12-05"," ACT/ACT.ISDA","USD","CR","","Credit:Exotic:Other","Trade","CM FINANCE SPV LTD:US125745AB51","","","","","","USD","","18,000,000","","0","","","","","","","","","","","","","","",""
"88576607","88478111","CORRECT","2018-06-21T21:04:36","U","FC","N","Y","N","OFF","2017-11-20","2019-12-05"," ACT/ACT.ISDA","USD","CR","","Credit:Exotic:Other","Trade","CM FINANCE SPV LTD:US125745AB51","","","","","","USD","","18,000,000","","0","","","","","","","","","","","","","","",""
"88612515","","NEW","2018-06-22T08:55:31","C","","N","N","N","ON","2018-06-25","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","EUROPE S29:2I666VCI4","","Basis points","69.3","","","EUR","","1,000,000","","3M","","","","","","","","","","","","","","",""
"88612436","","NEW","2018-06-22T08:27:00","U","UC","N","N","Y","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Swaptions:iTraxx:iTraxxEuropeSwaption","Trade","iTraxx Europe Series 29 Version 1-V1:2I666VCI4","","Basis points","17","","","EUR","","95,000,000+","","3M","","","","","0.9","P-","EU","EUR","161,500","","2018-09-19","","","",""
"88611266","","NEW","2018-06-22T08:26:17","U","UC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","ITRAXX EUROPE CROSSOVER SERIES 29 VERSION 1:2I667KFN3","","Percentage","5","","","EUR","","10,000,000","","3M","","","","","","","","","","","","","","",""
"88612046","","NEW","2018-06-22T08:41:43","C","UC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxAsiaExJapan","Trade","iTraxx Asia ex-Japan IG Series 29 Version 1:4ABCAMAV8","","BasisPoints","81.25","","","USD","","10,000,000","","3M","","","","","","","","","","","","","","",""
"88612235","","NEW","2018-06-22T08:49:02","C","","N","N","N","ON","2018-06-25","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","XOVER S29:2I667KFN3","","Basis points","301.35","","","EUR","","4,000,000","","3M","","","","","","","","","","","","","","",""
"88616222","","NEW","2018-06-22T09:27:30","C","","N","N","N","ON","2018-06-23","2023-12-20"," ACT/360","EUR","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","MARKIT ITRX EUROPE 12/23 ICEE:2I666VBO2","","Basis points","72","","","EUR","","95,000,000+","","3M","","","","","","","","","","","","","","",""
"88616262","","NEW","2018-06-22T09:28:30","C","","N","N","Y","ON","2018-06-23","2022-12-20"," ACT/360","EUR","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","MKIT ITRX EUR XOVER 12/22 ICE:2I667KFM5","","Basis points","265","","","EUR","","54,000,000","","3M","","","","","","","","","","","","","","",""
"88614627","","NEW","2018-06-22T09:16:37","C","UC","N","N","Y","OFF","2013-09-20","2018-12-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","ITRAXX EUROPE.MAIN.20.1:2I666VBA2","","BasisPoints","4.8","","","EUR","","280,000,000+","","3M","","","","","","","","","","","","","","",""
"88617226","","NEW","2018-06-22T09:47:40","C","","N","N","N","ON","2018-06-25","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","XOVER S29:2I667KFN3","","Basis points","301.01","","","EUR","","25,000,000","","3M","","","","","","","","","","","","","","",""
"88616447","","NEW","2018-06-22T09:32:56","C","","N","N","N","ON","2018-06-23","2023-06-20"," ACT/360","EUR","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","MARKIT ITRX EUROPE 06/23 ICE:2I666VCI4","","Basis points","69","","","EUR","","75,000,000","","3M","","","","","","","","","","","","","","",""
