"DISSEMINATION_ID","ORIGINAL_DISSEMINATION_ID","ACTION","EXECUTION_TIMESTAMP","CLEARED_OR_UNCLEARED","COLLATERALIZATION","END_USER_EXCEPTION","BESPOKE_SWAP","BLOCK_TRADE","EXECUTION_VENUE","EFFECTIVE_DATE","END_DATE","DAY_COUNT_CONVENTION","SETTLEMENT_CURRENCY","ASSET_ID","TAXONOMY","PRICE_FORMING_CONTINUATION_DATA","UNDERLYING_ASSET_1","UNDERLYING_ASSET_2","PRICE_NOTATION_TYPE","PRICE_NOTATION","ADDITIONAL_PRICE_NOTATION_TYPE","ADDITIONAL_PRICE_NOTATION","NOTIONAL_CURRENCY_1","NOTIONAL_CURRENCY_2","ROUNDED_NOTIONAL_AMOUNT_1","ROUNDED_NOTIONAL_AMOUNT_2","PAYMENT_FREQUENCY_1","PAYMENT_FREQUENCY_2","RESET_FREQUENCY_1","RESET_FREQUENCY_2","EMBEDED_OPTION","OPTION_STRIKE_PRICE","OPTION_TYPE","OPTION_FAMILY","OPTION_CURRENCY","OPTION_PREMIUM","OPTION_LOCK_PERIOD","OPTION_EXPIRATION_DATE","PRICE_NOTATION2_TYPE","PRICE_NOTATION2","PRICE_NOTATION3_TYPE","PRICE_NOTATION3"
"86556321","","NEW","2018-05-29 13:17:39:1739","C","UC","N","N","N","OFF","2024-03-12","2029-03-12","  30/360 ","USD","IR","InterestRate:IRSwap:FixedFloat","Trade","FIXED","USD-LIBOR-BBA","Percent","2.961","","","USD","USD","150,000,000","150,000,000","6M","3M","","3M","","","","","","","","","","","",""
"86555591","","NEW","2018-05-29 13:07:59:759","C","","","Y","N","ON","2018-05-31","2020-05-31","  ACT/360 ","USD","IR","InterestRate:IRSwap:Basis","Trade","USD-Federal Funds-H.15","USD-LIBOR-BBA","Percent","0.375","","","USD","USD","150,000,000","150,000,000","3M","3M","1D","3M","","","","","","","","","","","",""
"86555586","","NEW","2018-05-29 13:08:08:88","C","UC","N","N","N","ON","2018-05-31","2020-05-31","  ACT/360 ","USD","IR","InterestRate:IRSwap:Basis","Trade","USD-Federal Funds-H.15","USD-LIBOR-BBA","Percent","0.375","","","USD","USD","150,000,000","150,000,000","3M","3M","3M","3M","","","","","","","","","","","",""
"86555174","","NEW","2018-05-29 12:56:25:5625","C","","","N","N","OFF","2024-03-20","2026-03-20","  30/360 ","USD","IR","InterestRate:IRSwap:FixedFloat","Trade","USD-LIBOR-BBA","FIXED","Percent","3.04","USD","63,851.35135135","USD","USD","150,000,000","150,000,000","3M","6M","3M","","","","","","","","","","","","",""
"86553070","","NEW","2018-05-29 12:13:30:1330","C","","","N","N","ON","2018-10-03","2022-11-30","  30/360 ","USD","IR","InterestRate:IRSwap:FixedFloat","Trade","USD-LIBOR-BBA","FIXED","Percent","2.90009","USD","335,322.12028542","USD","USD","150,000,000","150,000,000","3M","6M","3M","","","","","","","","","","","","",""
"86553067","","NEW","2018-05-29 12:13:30:1330","C","","","N","N","ON","2018-07-05","2022-08-31","  30/360 ","USD","IR","InterestRate:IRSwap:FixedFloat","Trade","USD-LIBOR-BBA","FIXED","Percent","2.80441","USD","2,514.24740194","USD","USD","150,000,000","150,000,000","3M","6M","3M","","","","","","","","","","","","",""
"86544594","","NEW","2018-05-29 10:12:37:1237","U","UC","","Y","N","OFF","2017-07-18","2022-06-30","  1/1 ","USD","IR","InterestRate:Exotic","Termination","","","Percentage","0","","","USD","","150,000,000","","1Y","","","","","","","","","","","","","","",""
