"DISSEMINATION_ID","ORIGINAL_DISSEMINATION_ID","ACTION","EXECUTION_TIMESTAMP","CLEARED","INDICATION_OF_COLLATERALIZATION","INDICATION_OF_END_USER_EXCEPTION","INDICATION_OF_OTHER_PRICE_AFFECTING_TERM","BLOCK_TRADES_AND_LARGE_NOTIONAL_OFF-FACILITY_SWAPS","EXECUTION_VENUE","EFFECTIVE_DATE","END_DATE","DAY_COUNT_CONVENTION","SETTLEMENT_CURRENCY","ASSET_CLASS","SUB-ASSET_CLASS_FOR_OTHER_COMMODITY","TAXONOMY","PRICE_FORMING_CONTINUATION_DATA","UNDERLYING_ASSET_1","UNDERLYING_ASSET_2","PRICE_NOTATION_TYPE","PRICE_NOTATION","ADDITIONAL_PRICE_NOTATION_TYPE","ADDITIONAL_PRICE_NOTATION","NOTIONAL_CURRENCY_1","NOTIONAL_CURRENCY_2","ROUNDED_NOTIONAL_AMOUNT_1","ROUNDED_NOTIONAL_AMOUNT_2","PAYMENT_FREQUENCY_1","PAYMENT_FREQUENCY_2","RESET_FREQUENCY_1","RESET_FREQUENCY_2","EMBEDED_OPTION","OPTION_STRIKE_PRICE","OPTION_TYPE","OPTION_FAMILY","OPTION_CURRENCY","OPTION_PREMIUM","OPTION_LOCK_PERIOD","OPTION_EXPIRATION_DATE","PRICE_NOTATION2_TYPE","PRICE_NOTATION2","PRICE_NOTATION3_TYPE","PRICE_NOTATION3"
"86850267","","NEW","2018-06-01T03:17:41","C","","N","N","N","OFF","2018-06-02","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxAsiaExJapan","Trade","iTraxx Asia ex-Japan IG Series 29 Version 1:4ABCAMAV8","","BasisPoints","77","","","USD","","20,000,000","","3M","","","","","","","","","","","","","","",""
"86849991","","NEW","2018-06-01T03:20:30","U","FC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxAsiaExJapan","Trade","None:4ABCAMAV8","","BasisPoints","77.5","","","USD","","75,000,000","","3M","","","","","","","","","","","","","","",""
"86856066","","NEW","2018-06-01T06:43:43","C","","N","N","N","ON","2018-06-04","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","FINSEN S29:2I667DBT0","","Basis points","79.5","","","EUR","","2,000,000","","3M","","","","","","","","","","","","","","",""
"86856448","","NEW","2018-06-01T06:44:30","C","","N","N","N","ON","2018-06-04","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","XOVER S29:2I667KFN3","","Basis points","298.24","","","EUR","","8,000,000","","3M","","","","","","","","","","","","","","",""
"86855729","","NEW","2018-06-01T06:43:01","C","","N","N","N","ON","2018-06-04","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","FINSEN S29:2I667DBT0","","Basis points","79.625","","","EUR","","25,000,000","","3M","","","","","","","","","","","","","","",""
"86856667","","NEW","2018-06-01T06:45:01","C","","N","N","N","ON","2018-06-04","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","XOVER S29:2I667KFN3","","Basis points","297.5","","","EUR","","650,000","","3M","","","","","","","","","","","","","","",""
"86847977","","NEW","2018-06-01T01:04:45","U","UC","N","N","N","OFF","2018-06-01","2021-03-03"," 30/360","","CR","","Credit:TotalReturnSwap","Partialtermination","Bespoke basket:97541J9F9","","","","","","LKR","","850,000,000","","1T","","","","","","","","","","","","","","",""
"86848968","86706734","CANCEL","2018-05-30T20:56:49","U","FC","N","Y","N","OFF","2017-11-20","2020-12-07"," ACT/ACT.ISDA","USD","CR","","Credit:Exotic:Other","Trade","CM FINANCE SPV LTD:US125745AA78","","","","","","USD","","100,000,000+","","0","","","","","","","","","","","","","","",""
"86848969","86706734","CORRECT","2018-05-31T20:56:35","U","FC","N","Y","N","OFF","2017-11-20","2020-12-07"," ACT/ACT.ISDA","USD","CR","","Credit:Exotic:Other","Trade","CM FINANCE SPV LTD:US125745AA78","","","","","","USD","","100,000,000+","","0","","","","","","","","","","","","","","",""
"86849016","86706684","CANCEL","2018-05-30T20:58:08","U","FC","N","Y","N","OFF","2017-11-20","2019-12-05"," ACT/ACT.ISDA","USD","CR","","Credit:Exotic:Other","Trade","CM FINANCE SPV LTD:US125745AB51","","","","","","USD","","18,000,000","","0","","","","","","","","","","","","","","",""
"86849017","86706684","CORRECT","2018-05-31T20:55:12","U","FC","N","Y","N","OFF","2017-11-20","2019-12-05"," ACT/ACT.ISDA","USD","CR","","Credit:Exotic:Other","Trade","CM FINANCE SPV LTD:US125745AB51","","","","","","USD","","18,000,000","","0","","","","","","","","","","","","","","",""
"86847770","86790497","CANCEL","2018-05-31T11:04:45","U","UC","N","N","N","","2018-05-31","2021-03-03"," 30/360","","CR","","Credit:TotalReturnSwap","Partialtermination","Bespoke basket:97541J9F9","","","","","","LKR","","490,000,000","","1T","","","","","","","","","","","","","","",""
"86847776","86790624","CANCEL","2018-05-31T11:08:04","U","UC","N","N","N","","2018-05-31","2021-03-03"," 30/360","","CR","","Credit:TotalReturnSwap","Partialtermination","Bespoke basket:97541J9F9","","","","","","LKR","","170,000,000","","1T","","","","","","","","","","","","","","",""
"86868945","","NEW","2016-01-12T09:13:21","U","PC","N","Y","N","OFF","2016-01-14","2016-04-14"," ACT/360","","CR","","Credit:Exotic:Other","Trade","MAHARASTRA 8.28 29/07/2025:IN2220150055","","Percentage","10,530","","","USD","","500,000","","0","","","","","","","","","","","","","","",""
"86863594","","NEW","2018-06-01T07:06:59","C","","N","N","Y","ON","2018-06-04","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","XOVER S29:2I667KFN3","","Basis points","297","","","EUR","","86,000,000+","","3M","","","","","","","","","","","","","","",""
